"keys","en","de","fr"
"TITLE","2000 - 2005","2000 - 2005","2000 - 2005"
"START","Start","Anfangen","Commencer"
"CORRECT","Correct!","Richtig!","Correct!"
"INCORRECT","Wrong!","Falsch!","Erroné!"
"NEXT","Next","Nächste","Suivant"
"HOME","Back","Zurück","Retour"
"RESULTS","Your score:","Dein Score:","Ton Score:"
"QUESTION1","What does Pentarchy mean?","Was bedeutet Pentarchie?","Que signifie « Pentarchie » ?"
"QUESTION1_A","A 2020 survival-horror video game from Activision.","Ein Survival-Horror-Computerspiel von 2020 aus dem Hause Activision.","Un jeu vidéo de survie-horreur de 2020 signé Activision."
"QUESTION1_B","Greek for ""rule of five states.""","Griechisch für Herrschaft von fünf Staaten.","Du grec pour « gouvernement de cinq États »."
"QUESTION1_C","A Germanization of 五国均势体制 (Pān tǎ ěr xī), ""Who wants to avoid war plays it.""","Eindeutschung von 五国均势体制 (Pān tǎ ěr xī), ""Wer Krieg vermeiden will, spielt ihn"".","Une germanisation de 五国均势体制 (Pān tǎ ěr xī), « Qui veut éviter la guerre la joue »."
"QUESTION1_E","Historically, it describes the European balance of power in the 18th and 19th centuries. Today, the political scientist Herfried Münkler uses it for a possible variant of a new global order.","Historisch beschreibt sie das europäische Gleichgewicht der Kräfte im 18. Und 19. Jahrhundert. Heute beschreibt der Politikwissenschaftler Herfried Münkler damit eine Variante für eine neue globale Ordnung.","Historiquement, cela décrit l’équilibre européen des puissances aux XVIIIᵉ et XIXᵉ siècles. Aujourd’hui, le politologue Herfried Münkler l’emploie pour une variante possible d’un nouvel ordre mondial."
"QUESTION2","What is meant by the INF Treaty?","Was versteht man unter dem INF-Vertrag?","Qu’entend-on par le traité FNI (INF Treaty) ?"
"QUESTION2_A","The transformation of the Cominform (Communist Information Bureau) into "“Informations-GmbH”" after the end of the Cold War.","Die Umwandlung der Kominform (Kommunistisches Informationsbüro) in die Informations-GmbH nach Ende des kalten Krieges.","La transformation du Kominform (Bureau d’information des partis communistes) en "“Informations-GmbH”" après la fin de la guerre froide."
"QUESTION2_B","The founding of the state group "“Ideology Nationality Freedom”" as a counter-movement to the G7 states.","Die Gründung der Staatengruppe "„Ideology Nationality Freedom“" als Gegenbewegung zu den G7 Staaten.","La création du groupe d’États « Ideology Nationality Freedom » comme contre-mouvement aux pays du G7."
"QUESTION2_C","An agreement between the USA and the Soviet Union on the elimination of nuclear missiles of intermediate and shorter range.","Abkommen zwischen den USA und der Sowjetunion über die Vernichtung von Nuklearraketen mit mittlerer und kürzerer Reichweite.","Un accord entre les États-Unis et l’Union soviétique sur l’élimination des missiles nucléaires de portée intermédiaire et plus courte."
"QUESTION2_E","The Intermediate-Range Nuclear Forces Treaty was concluded in 1987 and terminated by the USA and Russia in 2019 after mutual accusations of violations.","Der Intermediate Range Nuclear Forces Treaty/ Mittelstrecken-Nuklearstreitkräfte-Vertrag wurde 1987 geschlossen und 2019 von den USA und Russland aufgekündigt, nachdem man sich gegenseitige Vertragsverletzungen vorgeworfen hatte.","Le Intermediate-Range Nuclear Forces Treaty a été conclu en 1987 et dénoncé en 2019 par les États-Unis et la Russie après des accusations réciproques de violations."
"QUESTION3","What is the Thucydides Trap?","Was ist die Thukydides-Falle?","Qu’est-ce que le « piège de Thucydide » ?"
"QUESTION3_A","The theory that the likelihood of war increases when a rising power threatens to displace an established great power.","Die Theorie, dass die Wahrscheinlichkeit für einen Krieg steigt, wenn eine aufstrebende Macht eine bestehende Großmacht zu verdrängen droht.","La théorie selon laquelle la probabilité d’une guerre augmente lorsqu’une puissance montante menace d’évincer une grande puissance établie."
"QUESTION3_B","A classic chess opening named after the Greek world chess champion Thucydides Anastopoulos.","Eine klassische Schach-Eröffnung, die auf den griechischen Schachweltmeister Thukydides Anastopoulos zurückgeht.","Une ouverture classique aux échecs, due au champion du monde grec Thucydide Anastopoulos."
"QUESTION3_C","A method used by the Greek intelligence service to blackmail people with compromising material.","Eine Methode des griechischen Geheimdienstes, mithilfe von kompromittierendem Material Personen zu erpressen.","Une méthode des services secrets grecs consistant à faire chanter des personnes à l’aide de matériel compromettant."
